Date,Open,High,Low,Close,Adj Close,Volume
6/09/2021,63.419998,63.75,61.299999,62.169998,62.169998,2034500
13/09/2021,62.77,62.869999,59.630001,60.700001,60.700001,3176100
20/09/2021,59.849998,61.639999,59.59,60.759998,60.759998,2308400
27/09/2021,61.25,61.290001,54.779999,56.299999,56.299999,4212300
4/10/2021,55.759998,56.900002,54.41,56.360001,56.360001,2127300
11/10/2021,56.68,57.490002,55.959999,56.290001,56.290001,1236500
18/10/2021,56.07,56.540001,54.41,54.860001,54.860001,2947400
25/10/2021,54.099998,55.25,53.389999,55.25,55.25,1251200
1/11/2021,55.720001,55.720001,52.950001,55.349998,55.349998,1947000
8/11/2021,54.049999,55.439999,54.009998,55.360001,55.360001,1433000
15/11/2021,55.419998,57.07,54.889999,56.830002,56.830002,2028800
22/11/2021,56.650002,56.650002,54.200001,54.27,54.27,1212800
29/11/2021,56.880001,57.18,54.77,55.799999,55.799999,2144600
6/12/2021,55.849998,59.849998,55.450001,59.400002,59.400002,2196500
13/12/2021,59.009998,59.98,57.919998,58.209999,58.209999,1860600
20/12/2021,58.52,61.16,58.509998,60.91,60.91,1571200
27/12/2021,60,61.369999,58.110001,58.369999,58.369999,1558700
3/01/2022,59,59.900002,56.549999,58.099998,58.099998,1510400
10/01/2022,57.32,59.279999,56.959999,57.16,57.16,1361100
17/01/2022,58.049999,60.639999,57.869999,59.32,59.32,2724400
24/01/2022,58.889999,61.779999,57.439999,61.110001,61.110001,3460200
31/01/2022,60.880001,63.189999,60.77,63.02,63.02,1956600
7/02/2022,63.610001,63.82,61.330002,61.990002,61.990002,1677700
14/02/2022,62.73,64.480003,61.860001,63.880001,63.880001,1529500
21/02/2022,63.59,63.59,60.849998,62.189999,62.189999,1205500
28/02/2022,62.900002,64.940002,62.689999,63.349998,63.349998,1812100
7/03/2022,62.099998,63.75,59.939999,62.48,62.48,1243900
14/03/2022,61.389999,64.809998,60.810001,64.559998,64.559998,1376600
21/03/2022,63.5,68,63.5,67.110001,67.110001,1253400
28/03/2022,66.019997,68.25,62.200001,64.839996,64.839996,3238300
4/04/2022,65,65.68,63.27,64.220001,64.220001,1229000
11/04/2022,63.689999,64.849998,63.360001,63.419998,63.419998,1078400
18/04/2022,63.200001,63.66,61.25,61.310001,61.310001,1612900
25/04/2022,59.619999,61.869999,56.709999,56.98,56.98,1334300
2/05/2022,55.57,57.099998,54.400002,54.990002,54.990002,2478400
9/05/2022,52.880001,56.75,52.439999,55.57,55.57,2981500
16/05/2022,53.900002,58.240002,53.900002,57.630001,57.630001,1865100
23/05/2022,57.889999,58.869999,55.529999,56.09,56.09,1568800
30/05/2022,56.360001,56.639999,54.200001,54.419998,54.419998,1394900
6/06/2022,55,55.919998,54,54.110001,54.110001,1377400
13/06/2022,53.799999,54,51.91,52.150002,52.150002,1680200
20/06/2022,53.990002,54.48,52.189999,54.150002,54.150002,929700
27/06/2022,54.07,54.799999,52.209999,53.209999,53.209999,1089600
4/07/2022,53.400002,55.200001,52.150002,53.5,53.5,914200
11/07/2022,53.619999,56.240002,53.5,56.189999,56.189999,1011100
18/07/2022,56,56.73,54.93,56.16,56.16,1016300
25/07/2022,56.200001,56.299999,54,56,56,963300
